"","geometry"
"18104",c(25.428433, -80.1517)
"18105",c(25.41745, -80.1401)
"18106",c(25.417633, -80.140683)
"18107",c(25.40185, -80.156117)
"18108",c(25.416717, -80.150817)
"18109",c(25.4002, -80.150533)
"18110",c(25.395533, -80.16085)
"18111",c(25.39115, -80.1611)
"18112",c(25.342633, -80.176567)
"18113",c(25.395533, -80.16105)
"18114",c(25.36245, -80.174233)
"18115",c(25.362233, -80.17395)
"18116",c(25.391383, -80.16085)
"18117",c(25.352733, -80.177233)
"18118",c(25.434317, -80.192683)
"18119",c(25.434317, -80.1929)
"18120",c(25.443883, -80.1763)
"18121",c(25.408467, -80.196983)
"18122",c(25.407417, -80.19645)
"18123",c(25.3522, -80.177533)
"18124",c(25.342833, -80.175867)
"18125",c(25.4441, -80.1763)
"18126",c(24.4595, -81.876067)
"18127",c(25.41795, -80.19315)
"18128",c(24.4533, -81.873217)
"18129",c(24.450567, -81.873467)
"18130",c(24.459817, -81.875367)
"18131",c(24.4641, -81.8479)
"18132",c(24.451917, -81.879533)
"18133",c(24.4533, -81.873217)
"18134",c(24.4561, -81.851167)
"18135",c(24.454717, -81.856917)
"18136",c(24.451917, -81.879533)
"18137",c(24.454717, -81.856917)
"18138",c(24.456133, -81.851617)
"18139",c(24.462783, -81.840433)
"18140",c(24.458333, -81.845883)
"18141",c(24.458833, -81.8461)
"18142",c(24.490417, -81.7011)
"18143",c(24.4641, -81.8479)
"18144",c(24.480033, -81.707283)
"18145",c(24.4859, -81.701233)
"18146",c(24.462783, -81.840433)
"18147",c(24.485833, -81.701583)
"18148",c(24.48705, -81.696533)
"18149",c(24.47975, -81.706983)
"18150",c(24.48145, -81.726233)
"18151",c(24.481233, -81.7271)
"18152",c(24.481183, -81.7065)
"18153",c(24.4813, -81.707017)
"18154",c(24.4795, -81.716117)
"18155",c(24.495233, -81.706017)
"18156",c(24.498883, -81.704983)
"18157",c(24.4795, -81.716117)
"18158",c(24.48305, -81.712967)
"18159",c(24.499217, -81.704983)
"18160",c(24.492967, -81.713917)
"18161",c(24.493183, -81.7134)
"18162",c(24.482617, -81.718283)
"18163",c(24.495267, -81.70685)
"18164",c(24.4828, -81.712433)
"18165",c(24.50605, -81.709883)
"18166",c(24.506083, -81.7096)
"18167",c(24.482117, -81.718283)
"18168",c(24.503033, -81.725067)
"18169",c(24.500133, -81.719283)
"18170",c(24.490183, -81.664883)
"18171",c(24.502783, -81.725483)
"18172",c(24.5532, -81.686917)
"18173",c(24.553033, -81.6874)
"18174",c(24.55235, -81.689467)
"18175",c(24.55185, -81.689333)
"18176",c(24.499217, -81.724417)
"18177",c(24.49375, -81.657417)
"18178",c(24.494233, -81.656933)
"18179",c(24.491917, -81.663083)
"18180",c(24.490167, -81.66545)
"18181",c(24.493017, -81.6595)
"18182",c(24.61505, -81.3938)
"18183",c(24.492917, -81.659683)
"18184",c(24.491767, -81.663217)
"18185",c(24.616183, -81.390417)
"18186",c(24.567133, -81.390317)
"18187",c(24.61505, -81.3938)
"18188",c(24.568, -81.384867)
"18189",c(24.616317, -81.390383)
"18190",c(24.568133, -81.384483)
"18191",c(24.567, -81.389833)
"18192",c(24.542383, -81.407117)
"18193",c(24.454883, -81.856533)
"18194",c(24.457283, -81.86935)
"18195",c(24.546617, -81.401933)
"18196",c(24.54255, -81.407117)
"18197",c(24.454883, -81.856533)
"18198",c(24.5533, -81.40395)
"18199",c(24.546617, -81.401933)
"18200",c(24.448933, -81.9829)
"18201",c(24.5531, -81.403733)
"18202",c(24.448783, -81.982917)
"18203",c(24.517283, -81.553267)
"18204",c(24.51725, -81.552867)
"18205",c(24.475517, -81.682083)
"18206",c(24.478833, -81.684867)
"18207",c(24.478233, -81.6849)
"18208",c(24.506833, -81.609667)
"18209",c(24.505683, -81.609383)
"18210",c(24.475383, -81.682917)
"18211",c(24.474617, -81.727083)
"18212",c(24.473917, -81.7083)
"18213",c(24.438333, -81.886483)
"18214",c(24.473467, -81.7089)
"18215",c(24.4438, -81.861383)
"18216",c(24.4746, -81.726483)
"18217",c(24.4675, -81.744383)
"18218",c(24.468233, -81.774267)
"18219",c(24.465533, -81.812233)
"18220",c(24.546167, -81.419867)
"18221",c(24.55885, -81.343833)
"18222",c(24.435467, -81.915667)
"18223",c(24.4381, -81.88735)
"18224",c(24.444417, -81.860867)
"18225",c(24.55855, -81.344233)
"18226",c(24.436, -81.915583)
"18227",c(24.556767, -81.365067)
"18228",c(24.5569, -81.364467)
"18229",c(24.542267, -81.421217)
"18230",c(24.5424, -81.42185)
"18231",c(24.479417, -81.682183)
"18232",c(24.441083, -81.890633)
"18233",c(24.478, -81.805983)
"18234",c(24.479433, -81.683067)
"18235",c(24.47375, -81.829867)
"18236",c(24.54585, -81.419583)
"18237",c(24.4756, -81.834383)
"18238",c(24.4411, -81.890317)
"18239",c(24.4529, -81.905317)
"18240",c(24.47375, -81.829867)
"18241",c(24.476083, -81.834417)
"18242",c(24.45325, -81.905433)
"18243",c(24.450483, -81.895517)
"18244",c(24.52035, -81.595167)
"18245",c(24.450717, -81.986117)
"18246",c(24.45055, -81.986417)
"18247",c(24.5156, -81.60395)
"18248",c(24.51525, -81.604233)
"18249",c(24.45105, -81.895533)
"18250",c(24.512633, -81.6139)
"18251",c(24.520133, -81.595983)
"18252",c(24.4834, -81.753267)
"18253",c(24.512233, -81.613717)
"18254",c(24.4849, -81.695167)
"18255",c(24.485167, -81.695533)
"18256",c(24.457867, -81.915683)
"18257",c(24.483333, -81.75275)
"18258",c(24.520617, -81.52285)
"18259",c(24.5228, -81.521267)
"18260",c(24.457283, -81.915567)
"18261",c(24.522183, -81.580933)
"18262",c(24.522283, -81.58075)
"18263",c(24.521983, -81.523883)
"18264",c(24.522417, -81.521333)
"18265",c(24.512567, -81.561567)
"18266",c(24.52935, -81.522667)
"18267",c(24.522017, -81.5245)
"18268",c(24.51, -81.566933)
"18269",c(24.508283, -81.571883)
"18270",c(24.503867, -81.621267)
"18271",c(24.512567, -81.5621)
"18272",c(24.503867, -81.621267)
"18273",c(24.500267, -81.629517)
"18274",c(24.503567, -81.623133)
"18275",c(24.50995, -81.5663)
"18276",c(24.5035, -81.623833)
"18277",c(24.50815, -81.5727)
"18278",c(24.500267, -81.629517)
"18279",c(24.490283, -81.671)
"18280",c(24.490067, -81.6714)
"18281",c(24.464983, -81.837917)
"18282",c(24.463883, -81.837683)
"18283",c(24.464617, -81.837533)
"18284",c(24.463883, -81.837767)
"18285",c(24.498733, -81.690317)
"18286",c(24.52975, -81.523733)
"18287",c(24.520183, -81.600283)
"18288",c(24.498933, -81.689867)
"18289",c(24.520917, -81.6)
"18290",c(24.500717, -81.66685)
"18291",c(24.529817, -81.5232)
"18292",c(24.5618, -81.502817)
"18293",c(24.49245, -81.675417)
"18294",c(24.47535, -81.742067)
"18295",c(24.492167, -81.675983)
"18296",c(24.561617, -81.502267)
"18297",c(24.545667, -81.594133)
"18298",c(24.539017, -81.57205)
"18299",c(24.533367, -81.605633)
"18300",c(24.533417, -81.605067)
"18301",c(24.561417, -81.501767)
"18302",c(24.56125, -81.50225)
"18303",c(24.5459, -81.594167)
"18304",c(24.487117, -81.843683)
"18305",c(24.482933, -81.854533)
"18306",c(24.53885, -81.572733)
"18307",c(24.482933, -81.854533)
"18308",c(24.487117, -81.843683)
"18309",c(24.581417, -81.592183)
"18310",c(24.47805, -81.932483)
"18311",c(24.479717, -81.89125)
"18312",c(24.47805, -81.932233)
"18313",c(24.479617, -81.891817)
"18314",c(24.467367, -81.883833)
"18315",c(24.467283, -81.88285)
"18316",c(24.54485, -81.7709)
"18317",c(24.581683, -81.591533)
"18318",c(24.5445, -81.7708)
"18319",c(24.558083, -81.673633)
"18320",c(24.514117, -81.93055)
"18321",c(24.557967, -81.673133)
"18322",c(24.514017, -81.930617)
"18323",c(24.623167, -81.11045)
"18324",c(24.6253, -81.104767)
"18325",c(24.625017, -81.10515)
"18326",c(24.623167, -81.11045)
"18327",c(24.625717, -81.112633)
"18328",c(24.625317, -81.10845)
"18329",c(24.62885, -81.112267)
"18330",c(24.628517, -81.11205)
"18331",c(24.62555, -81.108067)
"18332",c(24.625717, -81.112633)
"18333",c(24.68655, -80.963317)
"18334",c(24.686617, -80.963)
"18335",c(24.68415, -80.97415)
"18336",c(24.76685, -80.7521)
"18337",c(24.765733, -80.747033)
"18338",c(24.767083, -80.751583)
"18339",c(24.765617, -80.746567)
"18340",c(24.7657, -80.755633)
"18341",c(24.849617, -80.616217)
"18342",c(24.844067, -80.625367)
"18343",c(24.851033, -80.618133)
"18344",c(24.847717, -80.616933)
"18345",c(24.8442, -80.625)
"18346",c(24.849883, -80.616517)
"18347",c(24.7658, -80.7551)
"18348",c(24.904333, -80.613533)
"18349",c(24.905583, -80.614367)
"18350",c(24.8482, -80.616817)
"18351",c(24.851033, -80.618133)
"18352",c(24.9044, -80.613533)
"18353",c(24.905583, -80.614367)
"18354",c(24.9348, -80.548867)
"18355",c(24.9348, -80.548867)
"18356",c(24.918217, -80.504233)
"18357",c(24.93375, -80.549467)
"18358",c(24.919917, -80.5085)
"18359",c(24.93375, -80.549467)
"18360",c(24.918167, -80.504667)
"18361",c(24.9201, -80.508333)
"18362",c(24.952133, -80.450033)
"18363",c(24.9526, -80.448417)
"18364",c(24.923783, -80.5056)
"18365",c(24.92395, -80.506067)
"18366",c(24.9562, -80.45735)
"18367",c(24.9562, -80.45735)
"18368",c(24.9507, -80.454933)
"18369",c(24.954617, -80.460317)
"18370",c(24.950783, -80.455067)
"18371",c(24.9542, -80.46045)
"18372",c(24.958317, -80.45805)
"18373",c(24.604733, -81.166683)
"18374",c(24.6049, -81.1665)
"18375",c(24.776017, -80.714)
"18376",c(24.957883, -80.458067)
"18377",c(24.635083, -81.095817)
"18378",c(24.776183, -80.7141)
"18379",c(24.634783, -81.0956)
"18380",c(24.883967, -80.55365)
"18381",c(24.933517, -80.480533)
"18382",c(24.886467, -80.549433)
"18383",c(24.652183, -81.0117)
"18384",c(24.8842, -80.553233)
"18385",c(24.886083, -80.55025)
"18386",c(24.65205, -81.012017)
"18387",c(24.603383, -81.1716)
"18388",c(24.64685, -81.031317)
"18389",c(24.646367, -81.031833)
"18390",c(24.603683, -81.1712)
"18391",c(24.93975, -80.478617)
"18392",c(24.94005, -80.478283)
"18393",c(24.876417, -80.568017)
"18394",c(24.876767, -80.56775)
"18395",c(24.909583, -80.521833)
"18396",c(24.90905, -80.522117)
"18397",c(24.802267, -80.6842)
"18398",c(24.689733, -80.9195)
"18399",c(24.801683, -80.6845)
"18400",c(24.655783, -81.0055)
"18401",c(24.689283, -80.919783)
"18402",c(24.675833, -80.9544)
"18403",c(24.672767, -80.96435)
"18404",c(24.675333, -80.9545)
"18405",c(24.672817, -80.96385)
"18406",c(24.656033, -81.00605)
"18407",c(24.826367, -80.651233)
"18408",c(24.618333, -81.155217)
"18409",c(24.826767, -80.650183)
"18410",c(24.618817, -81.154183)
"18411",c(24.905417, -80.54015)
"18412",c(24.9054, -80.53965)
"18413",c(24.817933, -80.672767)
"18414",c(24.818983, -80.683667)
"18415",c(24.817717, -80.673483)
"18416",c(24.815617, -80.668467)
"18417",c(24.699767, -80.9112)
"18418",c(24.81915, -80.684383)
"18419",c(24.816033, -80.668483)
"18420",c(24.96725, -80.449783)
"18421",c(24.9653, -80.45215)
"18422",c(24.6997, -80.910883)
"18423",c(24.9653, -80.45155)
"18424",c(24.967133, -80.450017)
"18425",c(24.960083, -80.456583)
"18426",c(24.763217, -80.764)
"18427",c(24.66265, -81.01295)
"18428",c(24.762933, -80.76395)
"18429",c(24.699167, -80.955567)
"18430",c(24.73245, -80.83235)
"18431",c(24.6625, -81.0136)
"18432",c(24.9594, -80.4566)
"18433",c(24.7324, -80.832583)
"18434",c(24.8557, -80.611217)
"18435",c(24.726033, -80.856267)
"18436",c(24.8554, -80.6116)
"18437",c(24.699383, -80.955017)
"18438",c(24.943233, -80.5378)
"18439",c(24.965233, -80.542833)
"18440",c(24.72635, -80.85685)
"18441",c(24.72545, -80.932483)
"18442",c(24.90875, -80.6172)
"18443",c(25.240983, -80.193633)
"18444",c(24.687783, -81.041433)
"18445",c(24.725783, -80.932717)
"18446",c(25.0176, -80.363267)
"18447",c(25.03425, -80.345983)
"18448",c(25.01735, -80.363917)
"18449",c(24.908883, -80.6181)
"18450",c(24.965383, -80.543283)
"18451",c(25.240983, -80.193633)
"18452",c(25.03425, -80.345983)
"18453",c(24.6881, -81.0411)
"18454",c(25.122967, -80.270283)
"18455",c(25.127267, -80.26585)
"18456",c(25.127267, -80.26585)
"18457",c(25.098983, -80.292)
"18458",c(25.098933, -80.291817)
"18459",c(25.122967, -80.270283)
"18460",c(25.08945, -80.300167)
"18461",c(25.5954, -80.0957)
"18462",c(25.334233, -80.234767)
"18463",c(25.08945, -80.300167)
"18464",c(25.334233, -80.234767)
"18465",c(25.328883, -80.23225)
"18466",c(25.2009, -80.22665)
"18467",c(25.595383, -80.095967)
"18468",c(25.436783, -80.121333)
"18469",c(25.55305, -80.10565)
"18470",c(25.328883, -80.23225)
"18471",c(25.436783, -80.121333)
"18472",c(25.5744, -80.105667)
"18473",c(25.23485, -80.206833)
"18474",c(25.332317, -80.181083)
"18475",c(25.566417, -80.117017)
"18476",c(25.573783, -80.105667)
"18477",c(25.332317, -80.181083)
"18478",c(25.55305, -80.10565)
"18479",c(25.23515, -80.213183)
"18480",c(25.01385, -80.37215)
"18481",c(25.123817, -80.302083)
"18482",c(25.024233, -80.402367)
"18483",c(25.010267, -80.378367)
"18484",c(25.01125, -80.3734)
"18485",c(25.024233, -80.402367)
"18486",c(25.010267, -80.378367)
"18487",c(25.01385, -80.37215)
"18488",c(25.01125, -80.3734)
"18489",c(25.247583, -80.200833)
"18490",c(25.009217, -80.3748)
"18491",c(25.009217, -80.3748)
"18492",c(25.012283, -80.375217)
"18493",c(25.012283, -80.375217)
"18494",c(25.013467, -80.375217)
"18495",c(25.013467, -80.375217)
"18496",c(25.033717, -80.3512)
"18497",c(25.035583, -80.3477)
"18498",c(25.123317, -80.2976)
"18499",c(25.109317, -80.305883)
"18500",c(25.1372, -80.260483)
"18501",c(25.11045, -80.303983)
"18502",c(25.12125, -80.299183)
"18503",c(25.123, -80.298283)
"18504",c(25.1372, -80.260483)
"18505",c(25.139367, -80.25915)
"18506",c(25.139367, -80.25915)
"18507",c(25.146583, -80.260383)
"18508",c(25.138883, -80.261433)
"18509",c(25.146583, -80.260383)
"18510",c(25.141533, -80.262333)
"18511",c(25.141233, -80.259617)
"18512",c(25.14655, -80.2587)
"18513",c(25.304167, -80.21415)
"18514",c(25.141533, -80.262333)
"18515",c(25.14655, -80.2587)
"18516",c(25.294767, -80.219267)
"18517",c(25.195817, -80.22195)
"18518",c(25.138883, -80.261433)
"18519",c(25.141233, -80.259617)
"18520",c(25.304167, -80.21415)
"18521",c(25.147517, -80.25265)
"18522",c(25.150933, -80.25035)
"18523",c(25.193, -80.224217)
"18524",c(25.230717, -80.210583)
"18525",c(25.176867, -80.238867)
"18526",c(25.10565, -80.307617)
"18527",c(25.11965, -80.280733)
"18528",c(24.974467, -80.42895)
"18529",c(25.28955, -80.177667)
"18530",c(24.974467, -80.42895)
"18531",c(25.134983, -80.261967)
"18532",c(25.18235, -80.234717)
"18533",c(25.280233, -80.208517)
"18534",c(25.040483, -80.343117)
"18535",c(25.296667, -80.173467)
"18536",c(25.14025, -80.269467)
"18537",c(25.267917, -80.210467)
"18538",c(25.15445, -80.25005)
"18539",c(25.280233, -80.208517)
"18540",c(25.267917, -80.210467)
"18541",c(25.098417, -80.296033)
"18542",c(25.0934, -80.301567)
"18543",c(25.24185, -80.2241)
"18544",c(25.27145, -80.210717)
"18545",c(25.0934, -80.301567)
"18546",c(25.123783, -80.277733)
"18547",c(25.27145, -80.210717)
"18548",c(25.20965, -80.230833)
"18549",c(25.169633, -80.278417)
"18550",c(25.22115, -80.224867)
"18551",c(25.069233, -80.335583)
"18552",c(25.24185, -80.2241)
"18553",c(24.988367, -80.4144)
"18554",c(25.069233, -80.335583)
"18555",c(25.188383, -80.2611)
"18556",c(25.031633, -80.35275)
"18557",c(25.199783, -80.225617)
"18558",c(25.018917, -80.366933)
"18559",c(25.202617, -80.24585)
"18560",c(25.018317, -80.3684)
"18561",c(24.989783, -80.41185)
"18562",c(25.018917, -80.366933)
"18563",c(25.197383, -80.226783)
"18564",c(24.983817, -80.41735)
"18565",c(25.018317, -80.3684)
"18566",c(24.985217, -80.41715)
"18567",c(24.985217, -80.41715)
"18568",c(24.989783, -80.41185)
"18569",c(25.18715, -80.256783)
"18570",c(24.988367, -80.4144)
"18571",c(25.298633, -80.196933)
"18572",c(25.199433, -80.229783)
"18573",c(25.111183, -80.3283)
"18574",c(24.983817, -80.41735)
"18575",c(25.111183, -80.3283)
"18576",c(25.154367, -80.268067)
"18577",c(25.0528, -80.362317)
"18578",c(25.037633, -80.3734)
"18579",c(25.168167, -80.269933)
"18580",c(25.043567, -80.369467)
"18581",c(25.043567, -80.369467)
"18582",c(25.0528, -80.362317)
"18583",c(24.994617, -80.44625)
"18584",c(24.9986, -80.42335)
"18585",c(25.056467, -80.33475)
"18586",c(24.994617, -80.44625)
"18587",c(24.9986, -80.42335)
"18588",c(25.309633, -80.21165)
"18589",c(25.059983, -80.334467)
"18590",c(25.056467, -80.33475)
"18591",c(25.2667, -80.2466)
"18592",c(25.04285, -80.349333)
"18593",c(25.264317, -80.245617)
"18594",c(25.059983, -80.334467)
"18595",c(25.304767, -80.224683)
"18596",c(25.2667, -80.2466)
"18597",c(25.2322, -80.2488)
"18598",c(25.264317, -80.245617)
"18599",c(25.2322, -80.2488)
"18600",c(25.215983, -80.259433)
"18601",c(25.213633, -80.253717)
"18602",c(25.213633, -80.253717)
"18603",c(25.215983, -80.259433)
"18604",c(25.213817, -80.287883)
"18605",c(25.07525, -80.382167)
"18606",c(25.213817, -80.287883)
"18607",c(25.196267, -80.254417)
"18608",c(25.07525, -80.382167)
"18609",c(24.567433, -82.953933)
"18610",c(24.567433, -82.953933)
"18611",c(24.56825, -82.9514)
"18612",c(24.567917, -82.951417)
"18613",c(24.5652, -82.953417)
"18614",c(24.5652, -82.953417)
"18615",c(24.564933, -82.9561)
"18616",c(24.638933, -82.922683)
"18617",c(24.639067, -82.923083)
"18618",c(24.638933, -82.922683)
"18619",c(24.564933, -82.9561)
"18620",c(24.636617, -82.925983)
"18621",c(24.639067, -82.923083)
"18622",c(24.636617, -82.925983)
"18623",c(24.636017, -82.9243)
"18624",c(24.6745, -82.8861)
"18625",c(24.681433, -82.890067)
"18626",c(24.6815, -82.889983)
"18627",c(24.674683, -82.885967)
"18628",c(24.674983, -82.890733)
"18629",c(24.636133, -82.924417)
"18630",c(24.674983, -82.890733)
"18631",c(24.691367, -82.8749)
"18632",c(24.691567, -82.8747)
"18633",c(24.696317, -82.860933)
"18634",c(24.696167, -82.8609)
"18635",c(24.654217, -82.841267)
"18636",c(24.6973, -82.870017)
"18637",c(24.69735, -82.870183)
"18638",c(24.690183, -82.840583)
"18639",c(24.686233, -82.84365)
"18640",c(24.6862, -82.843833)
"18641",c(24.648083, -82.849817)
"18642",c(24.690233, -82.839967)
"18643",c(24.65405, -82.841433)
"18644",c(24.648083, -82.849817)
"18645",c(24.589283, -82.885717)
"18646",c(24.6548, -82.845567)
"18647",c(24.6549, -82.84545)
"18648",c(24.584783, -82.888567)
"18649",c(24.589117, -82.885333)
"18650",c(24.6204, -82.922117)
"18651",c(24.589583, -82.890783)
"18652",c(24.584467, -82.8885)
"18653",c(24.590067, -82.895083)
"18654",c(24.589633, -82.89095)
"18655",c(24.612017, -82.929233)
"18656",c(24.6204, -82.922117)
"18657",c(24.590233, -82.89505)
"18658",c(24.61075, -82.92985)
"18659",c(24.6092, -82.929867)
"18660",c(24.610633, -82.929817)
"18661",c(24.609067, -82.929733)
"18662",c(24.612, -82.928917)
"18663",c(24.607367, -82.955267)
"18664",c(24.61065, -82.956067)
"18665",c(24.607317, -82.955167)
"18666",c(24.614217, -82.948433)
"18667",c(24.6141, -82.948583)
"18668",c(24.6108, -82.956367)
"18669",c(24.605717, -82.956667)
"18670",c(24.605383, -82.956517)
"18671",c(24.610967, -82.9604)
"18672",c(24.610917, -82.960483)
"18673",c(24.61065, -82.962933)
"18674",c(24.606967, -82.967933)
"18675",c(24.610633, -82.964767)
"18676",c(24.606867, -82.9681)
"18677",c(24.604983, -82.972167)
"18678",c(24.610817, -82.964717)
"18679",c(24.60485, -82.972033)
"18680",c(24.610633, -82.96305)
"18681",c(24.591467, -82.994983)
"18682",c(24.6029, -82.9776)
"18683",c(24.6029, -82.9776)
"18684",c(24.6005, -82.980633)
"18685",c(24.591733, -82.994883)
"18686",c(24.6005, -82.980633)
"18687",c(24.5877, -82.992083)
"18688",c(24.63325, -82.935217)
"18689",c(24.64255, -82.929933)
"18690",c(24.587567, -82.99215)
"18691",c(24.63315, -82.935017)
"18692",c(24.58955, -82.9936)
"18693",c(24.58965, -82.993717)
"18694",c(24.64255, -82.929933)
"18695",c(24.635017, -82.933467)
"18696",c(24.635, -82.933617)
"18697",c(24.639367, -82.938)
"18698",c(24.63955, -82.94295)
"18699",c(24.6385, -82.96185)
"18700",c(24.639533, -82.942667)
"18701",c(24.639367, -82.938)
"18702",c(24.65165, -82.952067)
"18703",c(24.639117, -82.964267)
"18704",c(24.652633, -82.94895)
"18705",c(24.6393, -82.9643)
"18706",c(24.638667, -82.961633)
"18707",c(24.652733, -82.946267)
"18708",c(24.6527, -82.946167)
"18709",c(24.6518, -82.95205)
"18710",c(24.6554, -82.938917)
"18711",c(24.6525, -82.948883)
"18712",c(24.6554, -82.939317)
"18713",c(24.661283, -82.92815)
"18714",c(24.659017, -82.92955)
"18715",c(24.659, -82.9297)
"18716",c(24.661633, -82.928367)
"18717",c(24.663733, -82.9312)
"18718",c(24.661117, -82.931567)
"18719",c(24.661033, -82.931633)
"18720",c(24.669067, -82.927683)
"18721",c(24.6636, -82.931133)
"18722",c(24.669317, -82.90115)
"18723",c(24.671967, -82.90605)
"18724",c(24.669033, -82.92755)
"18725",c(24.669317, -82.90115)
"18726",c(24.671967, -82.90605)
"18727",c(24.675167, -82.899033)
"18728",c(24.674067, -82.903267)
"18729",c(24.674217, -82.903517)
"18730",c(24.673033, -82.910683)
"18731",c(24.673033, -82.910683)
"18732",c(24.673783, -82.9178)
"18733",c(24.6987, -82.917533)
"18734",c(24.668017, -82.91365)
"18735",c(24.668467, -82.913717)
"18736",c(24.673783, -82.9178)
"18737",c(24.675067, -82.898967)
"18738",c(24.7019, -82.9083)
"18739",c(24.6987, -82.917533)
"18740",c(24.7019, -82.9083)
"18741",c(24.701683, -82.88755)
"18742",c(24.699983, -82.9117)
"18743",c(24.699983, -82.9117)
"18744",c(24.701683, -82.88755)
"18745",c(24.710767, -82.881183)
"18746",c(24.705567, -82.8731)
"18747",c(24.70585, -82.873183)
"18748",c(24.710767, -82.881183)
"18749",c(24.7107, -82.881267)
"18750",c(24.715083, -82.885967)
"18751",c(24.718583, -82.88075)
"18752",c(24.705717, -82.877317)
"18753",c(24.718667, -82.88095)
"18754",c(24.719983, -82.87625)
"18755",c(24.7193, -82.87285)
"18756",c(24.715083, -82.885967)
"18757",c(24.7193, -82.87285)
"18758",c(24.602533, -82.87405)
"18759",c(24.719917, -82.876183)
"18760",c(24.613533, -82.869567)
"18761",c(24.598133, -82.87035)
"18762",c(24.598133, -82.87035)
"18763",c(24.628667, -82.8975)
"18764",c(24.602633, -82.874133)
"18765",c(24.610933, -82.8712)
"18766",c(24.610783, -82.871333)
"18767",c(24.613367, -82.869567)
"18768",c(24.62865, -82.8976)
"18769",c(24.63415, -82.9017)
"18770",c(24.63115, -82.90345)
"18771",c(24.632333, -82.904667)
"18772",c(24.63115, -82.90345)
"18773",c(24.632367, -83.0309)
"18774",c(24.635383, -83.0363)
"18775",c(24.6342, -82.901583)
"18776",c(24.632317, -82.904733)
"18777",c(24.632367, -83.0309)
"18778",c(24.638033, -83.046683)
"18779",c(24.638033, -83.046683)
"18780",c(24.6356, -83.036317)
"18781",c(24.633417, -83.056517)
"18782",c(24.637217, -83.0523)
"18783",c(24.64325, -83.06845)
"18784",c(24.633383, -83.056267)
"18785",c(24.637267, -83.052267)
"18786",c(24.622217, -83.065817)
"18787",c(24.637283, -83.092417)
"18788",c(24.63715, -83.09255)
"18789",c(24.643383, -83.068583)
"18790",c(24.622217, -83.065817)
"18791",c(24.621867, -83.071033)
"18792",c(24.618117, -83.080517)
"18793",c(24.627333, -83.081883)
"18794",c(24.6218, -83.0708)
"18795",c(24.617817, -83.080367)
"18796",c(24.627333, -83.081883)
"18797",c(24.613683, -83.064833)
"18798",c(24.622033, -83.08165)
"18799",c(24.621967, -83.081617)
"18800",c(24.613867, -83.064567)
"18801",c(24.602883, -83.085583)
"18802",c(24.607117, -83.076717)
"18803",c(24.607533, -83.0965)
"18804",c(24.607533, -83.0965)
"18805",c(24.606933, -83.076717)
"18806",c(24.603, -83.0855)
"18807",c(24.6106, -83.097817)
"18808",c(24.639917, -83.081)
"18809",c(24.612567, -83.100267)
"18810",c(24.6331, -83.08035)
"18811",c(24.612567, -83.100267)
"18812",c(24.6106, -83.097817)
"18813",c(24.6403, -83.081017)
"18814",c(24.633033, -83.080283)
"18815",c(24.619667, -83.099767)
"18816",c(24.626217, -83.088267)
"18817",c(24.6262, -83.088467)
"18818",c(24.619533, -83.09995)
"18819",c(24.618433, -83.101433)
"18820",c(24.61835, -83.101433)
"18821",c(24.622183, -83.100317)
"18822",c(24.622017, -83.100217)
"18823",c(24.63175, -83.08665)
"18824",c(24.634067, -83.099017)
"18825",c(24.634067, -83.098883)
"18826",c(24.63175, -83.08665)
"18827",c(24.6381, -83.10345)
"18828",c(24.634733, -83.0872)
"18829",c(24.638283, -83.103433)
"18830",c(24.642367, -83.10295)
"18831",c(24.634533, -83.086583)
"18832",c(24.644833, -83.103017)
"18833",c(24.627983, -83.103017)
"18834",c(24.6381, -83.10345)
"18835",c(24.6424, -83.10295)
"18836",c(24.627817, -83.1029)
"18837",c(24.642367, -83.10295)
"18838",c(24.652433, -83.033683)
"18839",c(24.66025, -83.07905)
"18840",c(24.659817, -83.088267)
"18841",c(24.644633, -83.103067)
"18842",c(24.660417, -83.079017)
"18843",c(24.652783, -83.033633)
"18844",c(24.659967, -83.0884)
"18845",c(24.6661, -83.093567)
"18846",c(24.666067, -83.0935)
"18847",c(24.664567, -83.096517)
"18848",c(24.66525, -83.0508)
"18849",c(24.666733, -83.091217)
"18850",c(24.666617, -83.091083)
"18851",c(24.665483, -83.050867)
"18852",c(24.677367, -83.0515)
"18853",c(24.672133, -83.08995)
"18854",c(24.678083, -83.062683)
"18855",c(24.66995, -83.0918)
"18856",c(24.669967, -83.091717)
"18857",c(24.678017, -83.0626)
"18858",c(24.680867, -83.076133)
"18859",c(24.677483, -83.051283)
"18860",c(24.677283, -83.08085)
"18861",c(24.680867, -83.076133)
"18862",c(24.674433, -83.088467)
"18863",c(24.677283, -83.08085)
"18864",c(24.674283, -83.088517)
"18865",c(24.672133, -83.08995)
"18866",c(24.678583, -83.08065)
"18867",c(24.683867, -83.0779)
"18868",c(24.682217, -83.078317)
"18869",c(24.678583, -83.08065)
"18870",c(24.683017, -83.076333)
"18871",c(24.6822, -83.078283)
"18872",c(24.70735, -83.044933)
"18873",c(24.682983, -83.076533)
"18874",c(24.70735, -83.044933)
"18875",c(24.707383, -83.044883)
"18876",c(24.70745, -83.04485)
"18877",c(24.70735, -83.044933)
"18878",c(24.70745, -83.04485)
"18879",c(24.685117, -83.073617)
"18880",c(24.685167, -83.073633)
"18881",c(24.704183, -83.040817)
