"","geometry"
"552",c(-1.2602, -81.0902)
"553",c(-3.1947, -81.5751)
"554",c(-2.7708, -81.1827)
"555",c(-5.3301, -81.7291)
"556",c(-4.0192, -81.4355)
"557",c(-3.7561, -81.2612)
"558",c(-4.092, -81.6659)
"559",c(-3.963, -81.3193)
"560",c(-3.3033, -81.0907)
"561",c(-3.9146, -81.463)
"562",c(-1.0585, -81.1621)
"563",c(-3.6735, -80.8651)
"564",c(-1.5544, -81.1795)
"565",c(-3.2955, -80.8131)
"566",c(-1.9999, -81.3622)
"567",c(-1.0891, -81.0093)
"568",c(-3.5312, -80.933)
"569",c(-1.3014, -81.1218)
"570",c(-3.5399, -80.9272)
"571",c(-1.3742, -81.2258)
"572",c(-3.7538, -80.9553)
"573",c(-1.2911, -81.0654)
"574",c(-1.8013, -81.0909)
"575",c(-3.7433, -80.9527)
"576",c(-1.7972, -81.0635)
"577",c(-1.8451, -81.0277)
"578",c(-1.7988, -81.1047)
"579",c(-3.45, -80.8471)
"580",c(-2.996, -80.98)
"581",c(-3.4291, -80.7102)
"582",c(-3.4933, -80.8246)
"583",c(-1.2627, -81.0497)
"584",c(-1.2677, -81.1046)
"585",c(-1.2641, -81.0508)
"586",c(-3.2506, -80.9841)
"587",c(-3.0229, -81.3004)
"588",c(-3.0024, -81.3786)
"589",c(-3.2054, -81.1541)
"590",c(-3.128, -81.2638)
"591",c(-2.785, -81.3095)
"592",c(-2.8502, -81.3556)
"593",c(-2.866, -81.3413)
"594",c(-2.6087, -81.3328)
"595",c(-2.2407, -81.9489)
"596",c(-2.9592, -81.013)
"597",c(-2.9596, -81.0094)
"598",c(-3.0533, -81.1576)
"599",c(-1.5558, -80.8196)
"600",c(-1.5754, -81.684)
"601",c(-1.305, -80.8414)
"602",c(-2.9208, -81.3498)
"603",c(-2.9701, -81.4146)
"604",c(-2.7205, -81.2692)
"605",c(-2.7509, -81.2457)
"606",c(-3.1758, -81.3878)
"607",c(-3.2108, -81.3784)
"608",c(-2.8823, -81.4232)
"609",c(-3.1659, -81.3971)
"610",c(-3.3456, -81.3947)
"611",c(-3.3252, -81.1614)
"612",c(-2.8189, -81.2183)
"613",c(-2.7973, -81.211)
"614",c(-2.5618, -81.2559)
"615",c(-2.6033, -81.2152)
"616",c(-2.7401, -81.1935)
"617",c(-2.7269, -81.1965)
"618",c(-3.3566, -80.9635)
"619",c(-3.3278, -80.9727)
"620",c(-3.0677, -80.9936)
"621",c(-2.6315, -81.2654)
"622",c(-3.6846, -80.9147)
"623",c(-3.4739, -80.8884)
"624",c(-3.5344, -80.9314)
"625",c(-3.5325, -80.9294)
"626",c(-3.7456, -80.956)
"627",c(-2.9127, -81.1699)
"628",c(-3.2553, -80.9926)
"629",c(-3.4193, -80.7225)
"630",c(-3.4241, -80.7082)
"631",c(-2.8868, -81.2356)
"632",c(-3.8582, -81.5828)
"633",c(-3.8394, -80.9978)
"634",c(-3.8949, -81.5332)
"635",c(-3.8816, -80.8739)
"636",c(-3.8906, -80.9221)
"637",c(-3.8855, -80.9642)
"638",c(-2.186, -81.1295)
"639",c(-2.2302, -81.2068)
"640",c(-2.1375, -81.0997)
"641",c(-2.2204, -81.1529)
"642",c(-2.1982, -81.1346)
"643",c(-3.8539, -80.857)
"644",c(-3.7885, -80.9896)
"645",c(-3.8108, -81.0174)
"646",c(-3.8087, -81.0628)
"647",c(-3.7672, -81.1442)
"648",c(-3.8416, -80.8575)
"649",c(-3.991, -81.0514)
"650",c(-3.8799, -80.998)
"651",c(-1.2566, -81.0656)
"652",c(-1.2593, -81.0726)
"653",c(-1.2661, -81.0849)
"654",c(-2.523, -81.2788)
"655",c(-2.6428, -81.1202)
"656",c(-1.6927, -81.1354)
"657",c(-1.9802, -81.2053)
"658",c(-1.3473, -81.1244)
"659",c(-1.27, -81.0891)
"660",c(-0.9983, -80.9114)
"661",c(-1.2602, -81.0816)
"662",c(-1.2664, -81.0819)
"663",c(-1.1273, -80.9737)
"664",c(-0.6764, -80.7143)
"665",c(-1.5483, -81.4491)
"666",c(-1.7609, -81.127)
"667",c(-2.0833, -81.2695)
"668",c(-0.7812, -80.7904)
