"","latitude","longitde","value_per_area","units_1"
"262",-42.017,118.683,"          null ","-----"
"263",-42.017,118.683,"          null ","-----"
"264",-42.517,119.6,"          null ","-----"
"265",-42.517,119.6,"          null ","-----"
"266",-43.7,121.867,"          null ","-----"
"267",-44.067,122.55,"          null ","-----"
"268",-44.067,122.55,"          null ","-----"
"269",-44.067,122.55,"          null ","-----"
"270",-44.55,123.583,"          null ","-----"
"271",-43.15,120.717,"          null ","-----"
"272",-45.133,124.85,"          null ","-----"
"273",-46,126.633,"       9600.000","mg/m2"
"274",-46,126.633,"          null ","-----"
"275",-46,126.633,"          null ","-----"
"276",-45.133,124.85,"          null ","-----"
"277",-45.783,126.2,"          null ","-----"
"278",-43.067,130.5,"       6000.000","mg/m2"
"279",-43.067,130.5,"         13400.","mg/m2"
"280",-42.067,130.683,"          null ","-----"
"281",-42.067,130.683,"          null ","-----"
"282",-40.9,130.867,"          null ","-----"
"283",-39.767,131.05,"          null ","-----"
"284",-37.317,131.183,"          null ","-----"
"285",-36.133,131.383,"          null ","-----"
"286",-36.133,131.383,"          null ","-----"
"287",-36.133,131.383,"          null ","-----"
"288",-36.133,131.383,"          null ","-----"
"289",-36.117,129.65,"          null ","-----"
"290",-36.033,127.417,"          null ","-----"
"291",-35.95,122.783,"       6000.000","mg/m2"
"292",-35.95,122.783,"          null ","-----"
"293",-35.95,121.683,"          null ","-----"
"294",-36.033,127.417,"          null ","-----"
"295",-35.95,121.683,"          null ","-----"
"296",-35.967,120.217,"          null ","-----"
"297",-35.867,118.517,"          null ","-----"
"298",-35.867,118.517,"          null ","-----"
"299",-35.967,114.417,"          null ","-----"
"300",-35.967,114.417,"          null ","-----"
"301",-35.967,114.417,"          null ","-----"
"302",-32.017,112,"       4800.000","mg/m2"
"303",-15.333,120.133,"       1600.000","mg/m2"
"304",-15.333,120.133,"       4000.000","mg/m2"
"305",-14.55,119.817,"       4200.000","mg/m2"
"306",-14.55,119.817,"       3600.000","mg/m2"
"307",-11.317,118.683,"       9200.000","mg/m2"
"308",-11.317,118.683,"         10200.","mg/m2"
"309",-18.3,117.2,"       5800.000","mg/m2"
"310",-18.3,117.2,"       4800.000","mg/m2"
"311",-17.383,116.783,"       7000.000","mg/m2"
"312",-17.383,116.783,"       7800.000","mg/m2"
"313",-16.467,116.367,"       4800.000","mg/m2"
"314",-16.467,116.367,"       7800.000","mg/m2"
"315",-15.617,115.983,"       4200.000","mg/m2"
"316",-15.617,115.983,"       4400.000","mg/m2"
"317",-14.117,115.383,"       4400.000","mg/m2"
"318",-14.117,115.383,"       4800.000","mg/m2"
"319",-12.833,114.75,"       2400.000","mg/m2"
"320",-12.833,114.75,"       3800.000","mg/m2"
"321",-10.967,113.733,"         19800.","mg/m2"
"322",-10.967,113.733,"         22200.","mg/m2"
"323",-10.1,113.367,"         10800.","mg/m2"
"324",-10.1,113.367,"       9200.000","mg/m2"
"325",-6.333,104.25,"       7000.000","mg/m2"
"326",-6.333,104.25,"         11800.","mg/m2"
"327",-8.033,107.267,"         18000.","mg/m2"
"328",-8.333,107.267,"         19600.","mg/m2"
"329",-10,108.2,"       3200.000","mg/m2"
"330",-10,108.2,"       5800.000","mg/m2"
"331",-11.55,108.967,"       3400.000","mg/m2"
"332",-13.633,109.95,"       5800.000","mg/m2"
"333",-13.633,109.95,"       6200.000","mg/m2"
"334",-15.217,111.05,"       4600.000","mg/m2"
"335",-15.217,111.05,"       5600.000","mg/m2"
"336",-17.167,111.833,"       4200.000","mg/m2"
"337",-17.167,111.833,"       5200.000","mg/m2"
"338",-18.817,112.717,"       6600.000","mg/m2"
"339",-18.817,112.717,"       8000.000","mg/m2"
"340",-20.533,113.583,"       5400.000","mg/m2"
"341",-20.533,113.583,"       6000.000","mg/m2"
"342",-31.917,115.467,"       2420.000","mg/m2"
"343",-31.917,115.467,"       2948.000","mg/m2"
"344",-31.95,115.217,"       3000.000","mg/m2"
"345",-31.95,115.217,"       3800.000","mg/m2"
"346",-32.25,114.467,"       2400.000","mg/m2"
"347",-32.25,114.467,"       2000.000","mg/m2"
"348",-32.167,113.483,"       4200.000","mg/m2"
"349",-32.167,113.483,"       2800.000","mg/m2"
"350",-32.117,112.617,"       4600.000","mg/m2"
"351",-32.117,112.617,"       5400.000","mg/m2"
"352",-31.983,111.983,"       1400.000","mg/m2"
"353",-31.983,111.983,"       1400.000","mg/m2"
"354",-31.983,111.983,"       3400.000","mg/m2"
"355",-31.983,111.983,"       3200.000","mg/m2"
"356",-31.983,111.983,"       2400.000","mg/m2"
"357",-31.983,111.983,"       2600.000","mg/m2"
"358",-31.983,111.983,"       3000.000","mg/m2"
"359",-31.983,111.983,"       2000.000","mg/m2"
"360",-31.983,111.983,"       1800.000","mg/m2"
"361",-26.533,112.55,"       5600.000","mg/m2"
"362",-24.383,113.05,"       6400.000","mg/m2"
"363",-24.383,113.05,"       4850.000","mg/m2"
"364",-21.933,113.833,"       4100.000","mg/m2"
"365",-21.933,113.833,"       6100.000","mg/m2"
"366",-20.283,116.033,"       4600.000","mg/m2"
"367",-20.283,116.033,"       9000.000","mg/m2"
"368",-19.767,117.9,"       7500.000","mg/m2"
"369",-19.767,117.9,"       9000.000","mg/m2"
"370",-18.75,117.567,"         33200.","mg/m2"
"371",-18.75,117.567,"         27600.","mg/m2"
"372",-18.067,117.167,"         17600.","mg/m2"
"373",-16.4,116.317,"       9200.000","mg/m2"
"374",-16.4,116.317,"       9400.000","mg/m2"
"375",-13.45,114.967,"         14800.","mg/m2"
"376",-13.45,114.967,"         13000.","mg/m2"
"377",-12.3,114.55,"         33600.","mg/m2"
"378",-12.3,114.55,"         25000.","mg/m2"
"379",-9.483,113.133,"         22600.","mg/m2"
"380",-9.483,113.133,"         18600.","mg/m2"
"381",-9.967,115.267,"         17600.","mg/m2"
"382",-9.967,115.267,"         23600.","mg/m2"
"383",-10.383,116.783,"         13600.","mg/m2"
"384",-10.383,116.783,"         14800.","mg/m2"
"385",-10.65,118.783,"         30400.","mg/m2"
"386",-10.65,118.783,"         31800.","mg/m2"
"387",-11.15,120.6,"         27800.","mg/m2"
"388",-11.15,120.6,"         25400.","mg/m2"
"389",-11.667,122.45,"       9600.000","mg/m2"
"390",-11.667,122.45,"       8600.000","mg/m2"
"391",-12.883,123.233,"         15000.","mg/m2"
"392",-12.883,123.233,"         12800.","mg/m2"
"393",-14.717,123.817,"         14350.","mg/m2"
"394",-14.717,123.817,"         19300.","mg/m2"
"395",-13.083,125.45,"         11500.","mg/m2"
"396",-13.083,125.45,"         12600.","mg/m2"
"397",-12.7,127.383,"       5250.000","mg/m2"
"398",-12.7,127.383,"       5350.000","mg/m2"
"399",-12.45,128.817,"       6720.000","mg/m2"
"400",-12.45,128.817,"         14420.","mg/m2"
"401",-12.517,127.233,"       3264.000","mg/m2"
"402",-12.517,127.233,"       4352.000","mg/m2"
"403",-12.583,124.883,"         11466.","mg/m2"
"404",-12.583,124.883,"         21112.","mg/m2"
"405",-12.55,122.533,"         20800.","mg/m2"
"406",-12.55,122.533,"         30000.","mg/m2"
"407",-13.75,119.95,"         12600.","mg/m2"
"408",-13.75,119.95,"         11600.","mg/m2"
"409",-15.333,120.75,"         18200.","mg/m2"
"410",-15.333,120.75,"         11400.","mg/m2"
"411",-16.733,121.067,"         12700.","mg/m2"
"412",-16.733,121.067,"         12800.","mg/m2"
"413",-17.9,121.95,"       1392.000","mg/m2"
"414",-17.9,121.95,"       1264.000","mg/m2"
"415",-18.267,121.733,"         18070.","mg/m2"
"416",-18.267,121.733,"         18720.","mg/m2"
"417",-18.983,118.3,"       9300.000","mg/m2"
"418",-18.983,118.3,"       9900.000","mg/m2"
"419",-19.8,115.867,"         17900.","mg/m2"
"420",-19.8,115.867,"         20500.","mg/m2"
"421",-17.733,114.483,"         26600.","mg/m2"
"422",-17.733,114.483,"         25200.","mg/m2"
"423",-16.417,113.95,"         14000.","mg/m2"
"424",-15.033,113.4,"         14200.","mg/m2"
"425",-15.033,113.4,"         12800.","mg/m2"
"426",-15.083,111.433,"       3800.000","mg/m2"
"427",-15.083,111.433,"       6000.000","mg/m2"
"428",-15.05,110,"         19600.","mg/m2"
"429",-15.05,110,"         16400.","mg/m2"
"430",-17.267,110,"       3200.000","mg/m2"
